Int-Region1	Seg-Region1	Int-Region2	Seg-Region2	Int-Region4	Seg-Region4	Int-Region5	Seg-Region5	Int-No entry	Seg-No entry
(2,24,17)	(2,24,17)	(2,23,17)	(2,23,17)	(2,21,17)	(2,21,17)	(2,20,17)	(2,20,17)			
(3,24,17)	(3,24,17)	(3,23,17)	(3,23,17)	(3,21,17)	(3,21,17)	(3,20,17)	(3,20,17)			
(4,24,17)	(4,24,17)	(4,23,17)	(4,23,17)	(4,21,17)	(4,21,17)	(4,20,17)	(4,20,17)			
(5,24,17)	(5,24,17)	(5,23,17)	(5,23,17)	(5,21,17)	(5,21,17)	(5,20,17)	(5,20,17)			
(6,24,17)	(6,24,17)	(6,23,17)	(6,23,17)	(6,21,17)	(6,21,17)	(6,20,17)	(6,20,17)			
(7,24,17)	(7,24,17)	(7,23,17)	(7,23,17)	(7,21,17)	(7,21,17)	(7,20,17)	(7,20,17)			
(8,24,17)	(8,24,17)	(8,23,17)	(8,23,17)	(8,21,17)	(8,21,17)	(8,20,17)	(8,20,17)			
(9,24,17)	(9,24,17)	(9,23,17)	(9,23,17)	(9,21,17)	(9,21,17)	(9,20,17)	(9,20,17)			
(10,24,17)	(10,24,17)	(10,23,17)	(10,23,17)	(10,21,17)	(10,21,17)	(10,20,17)	(10,20,17)			
(11,24,17)	(11,24,17)	(11,23,17)	(11,23,17)	(11,21,17)	(11,21,17)	(11,20,17)	(11,20,17)			
(12,24,17)	(12,24,17)	(12,23,17)	(12,23,17)	(12,21,17)	(12,21,17)	(12,20,17)	(12,20,17)			
(13,24,17)	(13,24,17)	(13,23,17)	(13,23,17)	(13,21,17)	(13,21,17)	(13,20,17)	(13,20,17)			
(14,24,17)	(14,24,17)	(14,23,17)	(14,23,17)	(14,21,17)	(14,21,17)	(14,20,17)	(14,20,17)			
(15,24,17)	(15,24,17)	(15,23,17)	(15,23,17)	(15,21,17)	(15,21,17)	(15,20,17)	(15,20,17)			
(16,24,17)	(16,24,17)	(16,23,17)	(16,23,17)	(16,21,17)	(16,21,17)	(16,20,17)	(16,20,17)			
(17,24,17)	(17,24,17)	(17,23,17)	(17,23,17)	(17,21,17)	(17,21,17)	(17,20,17)	(17,20,17)			
(18,24,17)	(18,24,17)	(18,23,17)	(18,23,17)	(18,21,17)	(18,21,17)	(18,20,17)	(18,20,17)			
(19,24,17)	(19,24,17)	(19,23,17)	(19,23,17)	(19,21,17)	(19,21,17)	(19,20,17)	(19,20,17)			
(20,24,17)	(20,24,17)	(20,23,17)	(20,23,17)	(20,21,17)	(20,21,17)	(20,20,17)	(20,20,17)			
(21,24,17)	(21,24,17)	(21,23,17)	(21,23,17)	(21,21,17)	(21,21,17)	(21,20,17)	(21,20,17)			
(22,24,17)	(22,24,17)	(22,23,17)	(22,23,17)	(22,21,17)	(22,21,17)	(22,20,17)	(22,20,17)			
(23,24,17)	(23,24,17)	(23,23,17)	(23,23,17)	(23,21,17)	(23,21,17)	(23,20,17)	(23,20,17)			
(24,24,17)	(24,24,17)	(24,23,17)	(24,23,17)	(24,21,17)	(24,21,17)	(24,20,17)	(24,20,17)			
(0,24,18)	(0,24,18)	(0,23,18)	(0,23,18)	(0,21,18)	(0,21,18)	(0,20,18)	(0,20,18)			
(1,24,18)	(1,24,18)	(1,23,18)	(1,23,18)	(1,21,18)	(1,21,18)	(1,20,18)	(1,20,18)			
(2,24,18)	(2,24,18)	(2,23,18)	(2,23,18)	(2,21,18)	(2,21,18)	(2,20,18)	(2,20,18)			
(3,24,18)	(3,24,18)	(3,23,18)	(3,23,18)	(3,21,18)	(3,21,18)	(3,20,18)	(3,20,18)			
(4,24,18)	(4,24,18)	(4,23,18)	(4,23,18)	(4,21,18)	(4,21,18)	(4,20,18)	(4,20,18)			
(5,24,18)	(5,24,18)	(5,23,18)	(5,23,18)	(5,21,18)	(5,21,18)	(5,20,18)	(5,20,18)			
(6,24,18)	(6,24,18)	(6,23,18)	(6,23,18)	(6,21,18)	(6,21,18)	(6,20,18)	(6,20,18)			
(7,24,18)	(7,24,18)	(7,23,18)	(7,23,18)	(7,21,18)	(7,21,18)	(7,20,18)	(7,20,18)			
(8,24,18)	(8,24,18)	(8,23,18)	(8,23,18)	(8,21,18)	(8,21,18)	(8,20,18)	(8,20,18)			
(9,24,18)	(9,24,18)	(9,23,18)	(9,23,18)	(9,21,18)	(9,21,18)	(9,20,18)	(9,20,18)			
(10,24,18)	(10,24,18)	(10,23,18)	(10,23,18)	(10,21,18)	(10,21,18)	(10,20,18)	(10,20,18)			
(11,24,18)	(11,24,18)	(11,23,18)	(11,23,18)	(11,21,18)	(11,21,18)	(11,20,18)	(11,20,18)			
(12,24,18)	(12,24,18)	(12,23,18)	(12,23,18)	(12,21,18)	(12,21,18)	(12,20,18)	(12,20,18)			
(13,24,18)	(13,24,18)	(13,23,18)	(13,23,18)	(13,21,18)	(13,21,18)	(13,20,18)	(13,20,18)			
(14,24,18)	(14,24,18)	(14,23,18)	(14,23,18)	(14,21,18)	(14,21,18)	(14,20,18)	(14,20,18)			
(15,24,18)	(15,24,18)	(15,23,18)	(15,23,18)	(15,21,18)	(15,21,18)	(15,20,18)	(15,20,18)			
(16,24,18)	(16,24,18)	(16,23,18)	(16,23,18)	(16,21,18)	(16,21,18)	(16,20,18)	(16,20,18)			
(17,24,18)	(17,24,18)	(17,23,18)	(17,23,18)	(17,21,18)	(17,21,18)	(17,20,18)	(17,20,18)			
(18,24,18)	(18,24,18)	(18,23,18)	(18,23,18)	(18,21,18)	(18,21,18)	(18,20,18)	(18,20,18)			
(19,24,18)	(19,24,18)	(19,23,18)	(19,23,18)	(19,21,18)	(19,21,18)	(19,20,18)	(19,20,18)			
(20,24,18)	(20,24,18)	(20,23,18)	(20,23,18)	(20,21,18)	(20,21,18)	(20,20,18)	(20,20,18)			
(21,24,18)	(21,24,18)	(21,23,18)	(21,23,18)	(21,21,18)	(21,21,18)	(21,20,18)	(21,20,18)			
(22,24,18)	(22,24,18)	(22,23,18)	(22,23,18)	(22,21,18)	(22,21,18)	(22,20,18)	(22,20,18)			
(23,24,18)	(23,24,18)	(23,23,18)	(23,23,18)	(23,21,18)	(23,21,18)	(23,20,18)	(23,20,18)			
(24,24,18)	(24,24,18)	(24,23,18)	(24,23,18)	(24,21,18)	(24,21,18)	(24,20,18)	(24,20,18)			
(0,24,19)	(0,24,19)	(0,23,19)	(0,23,19)	(0,21,19)	(0,21,19)	(0,20,19)	(0,20,19)			
(1,24,19)	(1,24,19)	(1,23,19)	(1,23,19)	(1,21,19)	(1,21,19)	(1,20,19)	(1,20,19)			
(2,24,19)	(2,24,19)	(2,23,19)	(2,23,19)	(2,21,19)	(2,21,19)	(2,20,19)	(2,20,19)			
(3,24,19)	(3,24,19)	(3,23,19)	(3,23,19)	(3,21,19)	(3,21,19)	(3,20,19)	(3,20,19)			
(4,24,19)	(4,24,19)	(4,23,19)	(4,23,19)	(4,21,19)	(4,21,19)	(4,20,19)	(4,20,19)			
(5,24,19)	(5,24,19)	(5,23,19)	(5,23,19)	(5,21,19)	(5,21,19)	(5,20,19)	(5,20,19)			
(6,24,19)	(6,24,19)	(6,23,19)	(6,23,19)	(6,21,19)	(6,21,19)	(6,20,19)	(6,20,19)			
(7,24,19)	(7,24,19)	(7,23,19)	(7,23,19)	(7,21,19)	(7,21,19)	(7,20,19)	(7,20,19)			
(8,24,19)	(8,24,19)	(8,23,19)	(8,23,19)	(8,21,19)	(8,21,19)	(8,20,19)	(8,20,19)			
(9,24,19)	(9,24,19)	(9,23,19)	(9,23,19)	(9,21,19)	(9,21,19)	(9,20,19)	(9,20,19)			
(10,24,19)	(10,24,19)	(10,23,19)	(10,23,19)	(10,21,19)	(10,21,19)	(10,20,19)	(10,20,19)			
(11,24,19)	(11,24,19)	(11,23,19)	(11,23,19)	(11,21,19)	(11,21,19)	(11,20,19)	(11,20,19)			
(12,24,19)	(12,24,19)	(12,23,19)	(12,23,19)	(12,21,19)	(12,21,19)	(12,20,19)	(12,20,19)			
(13,24,19)	(13,24,19)	(13,23,19)	(13,23,19)	(13,21,19)	(13,21,19)	(13,20,19)	(13,20,19)			
(14,24,19)	(14,24,19)	(14,23,19)	(14,23,19)	(14,21,19)	(14,21,19)	(14,20,19)	(14,20,19)			
(15,24,19)	(15,24,19)	(15,23,19)	(15,23,19)	(15,21,19)	(15,21,19)	(15,20,19)	(15,20,19)			
(16,24,19)	(16,24,19)	(16,23,19)	(16,23,19)	(16,21,19)	(16,21,19)	(16,20,19)	(16,20,19)			
(17,24,19)	(17,24,19)	(17,23,19)	(17,23,19)	(17,21,19)	(17,21,19)	(17,20,19)	(17,20,19)			
(18,24,19)	(18,24,19)	(18,23,19)	(18,23,19)	(18,21,19)	(18,21,19)	(18,20,19)	(18,20,19)			
(19,24,19)	(19,24,19)	(19,23,19)	(19,23,19)	(19,21,19)	(19,21,19)	(19,20,19)	(19,20,19)			
(20,24,19)	(20,24,19)	(20,23,19)	(20,23,19)	(20,21,19)	(20,21,19)	(20,20,19)	(20,20,19)			
(21,24,19)	(21,24,19)	(21,23,19)	(21,23,19)	(21,21,19)	(21,21,19)	(21,20,19)	(21,20,19)			
(22,24,19)	(22,24,19)	(22,23,19)	(22,23,19)	(22,21,19)	(22,21,19)	(22,20,19)	(22,20,19)			
(23,24,19)	(23,24,19)	(23,23,19)	(23,23,19)	(23,21,19)	(23,21,19)	(23,20,19)	(23,20,19)			
(24,24,19)	(24,24,19)	(24,23,19)	(24,23,19)	(24,21,19)	(24,21,19)	(24,20,19)	(24,20,19)			
(0,24,20)	(0,24,20)	(0,23,20)	(0,23,20)	(0,21,20)	(0,21,20)	(0,20,20)	(0,20,20)			
(1,24,20)	(1,24,20)	(1,23,20)	(1,23,20)	(1,21,20)	(1,21,20)	(1,20,20)	(1,20,20)			
(2,24,20)	(2,24,20)	(2,23,20)	(2,23,20)	(2,21,20)	(2,21,20)	(2,20,20)	(2,20,20)			
(3,24,20)	(3,24,20)	(3,23,20)	(3,23,20)	(3,21,20)	(3,21,20)	(3,20,20)	(3,20,20)			
(4,24,20)	(4,24,20)	(4,23,20)	(4,23,20)	(4,21,20)	(4,21,20)	(4,20,20)	(4,20,20)			
(5,24,20)	(5,24,20)	(5,23,20)	(5,23,20)	(5,21,20)	(5,21,20)	(5,20,20)	(5,20,20)			
(6,24,20)	(6,24,20)	(6,23,20)	(6,23,20)	(6,21,20)	(6,21,20)	(6,20,20)	(6,20,20)			
(7,24,20)	(7,24,20)	(7,23,20)	(7,23,20)	(7,21,20)	(7,21,20)	(7,20,20)	(7,20,20)			
(8,24,20)	(8,24,20)	(8,23,20)	(8,23,20)	(8,21,20)	(8,21,20)	(8,20,20)	(8,20,20)			
(9,24,20)	(9,24,20)	(9,23,20)	(9,23,20)	(9,21,20)	(9,21,20)	(9,20,20)	(9,20,20)			
(10,24,20)	(10,24,20)	(10,23,20)	(10,23,20)	(10,21,20)	(10,21,20)	(10,20,20)	(10,20,20)			
(11,24,20)	(11,24,20)	(11,23,20)	(11,23,20)	(11,21,20)	(11,21,20)	(11,20,20)	(11,20,20)			
(12,24,20)	(12,24,20)	(12,23,20)	(12,23,20)	(12,21,20)	(12,21,20)	(12,20,20)	(12,20,20)			
(13,24,20)	(13,24,20)	(13,23,20)	(13,23,20)	(13,21,20)	(13,21,20)	(13,20,20)	(13,20,20)			
(14,24,20)	(14,24,20)	(14,23,20)	(14,23,20)	(14,21,20)	(14,21,20)	(14,20,20)	(14,20,20)			
(15,24,20)	(15,24,20)	(15,23,20)	(15,23,20)	(15,21,20)	(15,21,20)	(15,20,20)	(15,20,20)			
(16,24,20)	(16,24,20)	(16,23,20)	(16,23,20)	(16,21,20)	(16,21,20)	(16,20,20)	(16,20,20)			
(17,24,20)	(17,24,20)	(17,23,20)	(17,23,20)	(17,21,20)	(17,21,20)	(17,20,20)	(17,20,20)			
(18,24,20)	(18,24,20)	(18,23,20)	(18,23,20)	(18,21,20)	(18,21,20)	(18,20,20)	(18,20,20)			
(19,24,20)	(19,24,20)	(19,23,20)	(19,23,20)	(19,21,20)	(19,21,20)	(19,20,20)	(19,20,20)			
(20,24,20)	(20,24,20)	(20,23,20)	(20,23,20)	(20,21,20)	(20,21,20)	(20,20,20)	(20,20,20)			
(21,24,20)	(21,24,20)	(21,23,20)	(21,23,20)	(21,21,20)	(21,21,20)	(21,20,20)	(21,20,20)			
(22,24,20)	(22,24,20)	(22,23,20)	(22,23,20)	(22,21,20)	(22,21,20)	(22,20,20)	(22,20,20)			
(23,24,20)	(23,24,20)	(23,23,20)	(23,23,20)	(23,21,20)	(23,21,20)	(23,20,20)	(23,20,20)			
(24,24,20)	(24,24,20)	(24,23,20)	(24,23,20)	(24,21,20)	(24,21,20)	(24,20,20)	(24,20,20)			
(0,24,21)	(0,24,21)	(0,23,21)	(0,23,21)	(0,21,21)	(0,21,21)	(0,20,21)	(0,20,21)			
(1,24,21)	(1,24,21)	(1,23,21)	(1,23,21)	(1,21,21)	(1,21,21)	(1,20,21)	(1,20,21)			
(2,24,21)	(2,24,21)	(2,23,21)	(2,23,21)	(2,21,21)	(2,21,21)	(2,20,21)	(2,20,21)			
(3,24,21)	(3,24,21)	(3,23,21)	(3,23,21)	(3,21,21)	(3,21,21)	(3,20,21)	(3,20,21)			
(4,24,21)	(4,24,21)	(4,23,21)	(4,23,21)	(4,21,21)	(4,21,21)	(4,20,21)	(4,20,21)			
(5,24,21)	(5,24,21)	(5,23,21)	(5,23,21)	(5,21,21)	(5,21,21)	(5,20,21)	(5,20,21)			
(6,24,21)	(6,24,21)	(6,23,21)	(6,23,21)	(6,21,21)	(6,21,21)	(6,20,21)	(6,20,21)			
(7,24,21)	(7,24,21)	(7,23,21)	(7,23,21)	(7,21,21)	(7,21,21)	(7,20,21)	(7,20,21)			
(8,24,21)	(8,24,21)	(8,23,21)	(8,23,21)	(8,21,21)	(8,21,21)	(8,20,21)	(8,20,21)			
(9,24,21)	(9,24,21)	(9,23,21)	(9,23,21)	(9,21,21)	(9,21,21)	(9,20,21)	(9,20,21)			
(10,24,21)	(10,24,21)	(10,23,21)	(10,23,21)	(10,21,21)	(10,21,21)	(10,20,21)	(10,20,21)			
(11,24,21)	(11,24,21)	(11,23,21)	(11,23,21)	(11,21,21)	(11,21,21)	(11,20,21)	(11,20,21)			
(12,24,21)	(12,24,21)	(12,23,21)	(12,23,21)	(12,21,21)	(12,21,21)	(12,20,21)	(12,20,21)			
(13,24,21)	(13,24,21)	(13,23,21)	(13,23,21)	(13,21,21)	(13,21,21)	(13,20,21)	(13,20,21)			
(14,24,21)	(14,24,21)	(14,23,21)	(14,23,21)	(14,21,21)	(14,21,21)	(14,20,21)	(14,20,21)			
(15,24,21)	(15,24,21)	(15,23,21)	(15,23,21)	(15,21,21)	(15,21,21)	(15,20,21)	(15,20,21)			
(16,24,21)	(16,24,21)	(16,23,21)	(16,23,21)	(16,21,21)	(16,21,21)	(16,20,21)	(16,20,21)			
(17,24,21)	(17,24,21)	(17,23,21)	(17,23,21)	(17,21,21)	(17,21,21)	(17,20,21)	(17,20,21)			
(18,24,21)	(18,24,21)	(18,23,21)	(18,23,21)	(18,21,21)	(18,21,21)	(18,20,21)	(18,20,21)			
(19,24,21)	(19,24,21)	(19,23,21)	(19,23,21)	(19,21,21)	(19,21,21)	(19,20,21)	(19,20,21)			
(20,24,21)	(20,24,21)	(20,23,21)	(20,23,21)	(20,21,21)	(20,21,21)	(20,20,21)	(20,20,21)			
(21,24,21)	(21,24,21)	(21,23,21)	(21,23,21)	(21,21,21)	(21,21,21)	(21,20,21)	(21,20,21)			
(22,24,21)	(22,24,21)	(22,23,21)	(22,23,21)	(22,21,21)	(22,21,21)	(22,20,21)	(22,20,21)			
(23,24,21)	(23,24,21)	(23,23,21)	(23,23,21)	(23,21,21)	(23,21,21)	(23,20,21)	(23,20,21)			
(24,24,21)	(24,24,21)	(24,23,21)	(24,23,21)	(24,21,21)	(24,21,21)	(24,20,21)	(24,20,21)			
(0,24,22)	(0,24,22)	(0,23,22)	(0,23,22)	(0,21,22)	(0,21,22)	(0,20,22)	(0,20,22)			
(1,24,22)	(1,24,22)	(1,23,22)	(1,23,22)	(1,21,22)	(1,21,22)	(1,20,22)	(1,20,22)			
(2,24,22)	(2,24,22)	(2,23,22)	(2,23,22)	(2,21,22)	(2,21,22)	(2,20,22)	(2,20,22)			
(3,24,22)	(3,24,22)	(3,23,22)	(3,23,22)	(3,21,22)	(3,21,22)	(3,20,22)	(3,20,22)			
(4,24,22)	(4,24,22)	(4,23,22)	(4,23,22)	(4,21,22)	(4,21,22)	(4,20,22)	(4,20,22)			
(5,24,22)	(5,24,22)	(5,23,22)	(5,23,22)	(5,21,22)	(5,21,22)	(5,20,22)	(5,20,22)			
(6,24,22)	(6,24,22)	(6,23,22)	(6,23,22)	(6,21,22)	(6,21,22)	(6,20,22)	(6,20,22)			
(7,24,22)	(7,24,22)	(7,23,22)	(7,23,22)	(7,21,22)	(7,21,22)	(7,20,22)	(7,20,22)			
(8,24,22)	(8,24,22)	(8,23,22)	(8,23,22)	(8,21,22)	(8,21,22)	(8,20,22)	(8,20,22)			
(9,24,22)	(9,24,22)	(9,23,22)	(9,23,22)	(9,21,22)	(9,21,22)	(9,20,22)	(9,20,22)			
(10,24,22)	(10,24,22)	(10,23,22)	(10,23,22)	(10,21,22)	(10,21,22)	(10,20,22)	(10,20,22)			
(11,24,22)	(11,24,22)	(11,23,22)	(11,23,22)	(11,21,22)	(11,21,22)	(11,20,22)	(11,20,22)			
(12,24,22)	(12,24,22)	(12,23,22)	(12,23,22)	(12,21,22)	(12,21,22)	(12,20,22)	(12,20,22)			
(13,24,22)	(13,24,22)	(13,23,22)	(13,23,22)	(13,21,22)	(13,21,22)	(13,20,22)	(13,20,22)			
(14,24,22)	(14,24,22)	(14,23,22)	(14,23,22)	(14,21,22)	(14,21,22)	(14,20,22)	(14,20,22)			
(15,24,22)	(15,24,22)	(15,23,22)	(15,23,22)	(15,21,22)	(15,21,22)	(15,20,22)	(15,20,22)			
(16,24,22)	(16,24,22)	(16,23,22)	(16,23,22)	(16,21,22)	(16,21,22)	(16,20,22)	(16,20,22)			
(17,24,22)	(17,24,22)	(17,23,22)	(17,23,22)	(17,21,22)	(17,21,22)	(17,20,22)	(17,20,22)			
(18,24,22)	(18,24,22)	(18,23,22)	(18,23,22)	(18,21,22)	(18,21,22)	(18,20,22)	(18,20,22)			
(19,24,22)	(19,24,22)	(19,23,22)	(19,23,22)	(19,21,22)	(19,21,22)	(19,20,22)	(19,20,22)			
(20,24,22)	(20,24,22)	(20,23,22)	(20,23,22)	(20,21,22)	(20,21,22)	(20,20,22)	(20,20,22)			
(21,24,22)	(21,24,22)	(21,23,22)	(21,23,22)	(21,21,22)	(21,21,22)	(21,20,22)	(21,20,22)			
(22,24,22)	(22,24,22)	(22,23,22)	(22,23,22)	(22,21,22)	(22,21,22)	(22,20,22)	(22,20,22)			
(23,24,22)	(23,24,22)	(23,23,22)	(23,23,22)	(23,21,22)	(23,21,22)	(23,20,22)	(23,20,22)			
(24,24,22)	(24,24,22)	(24,23,22)	(24,23,22)	(24,21,22)	(24,21,22)	(24,20,22)	(24,20,22)			
(0,24,23)	(0,24,23)	(0,23,23)	(0,23,23)	(0,21,23)	(0,21,23)	(0,20,23)	(0,20,23)			
(1,24,23)	(1,24,23)	(1,23,23)	(1,23,23)	(1,21,23)	(1,21,23)	(1,20,23)	(1,20,23)			
(2,24,23)	(2,24,23)	(2,23,23)	(2,23,23)	(2,21,23)	(2,21,23)	(2,20,23)	(2,20,23)			
(3,24,23)	(3,24,23)	(3,23,23)	(3,23,23)	(3,21,23)	(3,21,23)	(3,20,23)	(3,20,23)			
(4,24,23)	(4,24,23)	(4,23,23)	(4,23,23)	(4,21,23)	(4,21,23)	(4,20,23)	(4,20,23)			
(5,24,23)	(5,24,23)	(5,23,23)	(5,23,23)	(5,21,23)	(5,21,23)	(5,20,23)	(5,20,23)			
(6,24,23)	(6,24,23)	(6,23,23)	(6,23,23)	(6,21,23)	(6,21,23)	(6,20,23)	(6,20,23)			
(7,24,23)	(7,24,23)	(7,23,23)	(7,23,23)	(7,21,23)	(7,21,23)	(7,20,23)	(7,20,23)			
(8,24,23)	(8,24,23)	(8,23,23)	(8,23,23)	(8,21,23)	(8,21,23)	(8,20,23)	(8,20,23)			
(9,24,23)	(9,24,23)	(9,23,23)	(9,23,23)	(9,21,23)	(9,21,23)	(9,20,23)	(9,20,23)			
(10,24,23)	(10,24,23)	(10,23,23)	(10,23,23)	(10,21,23)	(10,21,23)	(10,20,23)	(10,20,23)			
(11,24,23)	(11,24,23)	(11,23,23)	(11,23,23)	(11,21,23)	(11,21,23)	(11,20,23)	(11,20,23)			
(12,24,23)	(12,24,23)	(12,23,23)	(12,23,23)	(12,21,23)	(12,21,23)	(12,20,23)	(12,20,23)			
(13,24,23)	(13,24,23)	(13,23,23)	(13,23,23)	(13,21,23)	(13,21,23)	(13,20,23)	(13,20,23)			
(14,24,23)	(14,24,23)	(14,23,23)	(14,23,23)	(14,21,23)	(14,21,23)	(14,20,23)	(14,20,23)			
(15,24,23)	(15,24,23)	(15,23,23)	(15,23,23)	(15,21,23)	(15,21,23)	(15,20,23)	(15,20,23)			
(16,24,23)	(16,24,23)	(16,23,23)	(16,23,23)	(16,21,23)	(16,21,23)	(16,20,23)	(16,20,23)			
(17,24,23)	(17,24,23)	(17,23,23)	(17,23,23)	(17,21,23)	(17,21,23)	(17,20,23)	(17,20,23)			
(18,24,23)	(18,24,23)	(18,23,23)	(18,23,23)	(18,21,23)	(18,21,23)	(18,20,23)	(18,20,23)			
(19,24,23)	(19,24,23)	(19,23,23)	(19,23,23)	(19,21,23)	(19,21,23)	(19,20,23)	(19,20,23)			
(20,24,23)	(20,24,23)	(20,23,23)	(20,23,23)	(20,21,23)	(20,21,23)	(20,20,23)	(20,20,23)			
(21,24,23)	(21,24,23)	(21,23,23)	(21,23,23)	(21,21,23)	(21,21,23)	(21,20,23)	(21,20,23)			
(22,24,23)	(22,24,23)	(22,23,23)	(22,23,23)	(22,21,23)	(22,21,23)	(22,20,23)	(22,20,23)			
(23,24,23)	(23,24,23)	(23,23,23)	(23,23,23)	(23,21,23)	(23,21,23)	(23,20,23)	(23,20,23)			
(24,24,23)	(24,24,23)	(24,23,23)	(24,23,23)	(24,21,23)	(24,21,23)	(24,20,23)	(24,20,23)			
(0,24,24)	(0,24,24)	(0,23,24)	(0,23,24)	(0,21,24)	(0,21,24)	(0,20,24)	(0,20,24)			
(1,24,24)	(1,24,24)	(1,23,24)	(1,23,24)	(1,21,24)	(1,21,24)	(1,20,24)	(1,20,24)			
(2,24,24)	(2,24,24)	(2,23,24)	(2,23,24)	(2,21,24)	(2,21,24)	(2,20,24)	(2,20,24)			
(3,24,24)	(3,24,24)	(3,23,24)	(3,23,24)	(3,21,24)	(3,21,24)	(3,20,24)	(3,20,24)			
(4,24,24)	(4,24,24)	(4,23,24)	(4,23,24)	(4,21,24)	(4,21,24)	(4,20,24)	(4,20,24)			
(5,24,24)	(5,24,24)	(5,23,24)	(5,23,24)	(5,21,24)	(5,21,24)	(5,20,24)	(5,20,24)			
(6,24,24)	(6,24,24)	(6,23,24)	(6,23,24)	(6,21,24)	(6,21,24)	(6,20,24)	(6,20,24)			
(7,24,24)	(7,24,24)	(7,23,24)	(7,23,24)	(7,21,24)	(7,21,24)	(7,20,24)	(7,20,24)			
(8,24,24)	(8,24,24)	(8,23,24)	(8,23,24)	(8,21,24)	(8,21,24)	(8,20,24)	(8,20,24)			
(9,24,24)	(9,24,24)	(9,23,24)	(9,23,24)	(9,21,24)	(9,21,24)	(9,20,24)	(9,20,24)			
(10,24,24)	(10,24,24)	(10,23,24)	(10,23,24)	(10,21,24)	(10,21,24)	(10,20,24)	(10,20,24)			
(11,24,24)	(11,24,24)	(11,23,24)	(11,23,24)	(11,21,24)	(11,21,24)	(11,20,24)	(11,20,24)			
(12,24,24)	(12,24,24)	(12,23,24)	(12,23,24)	(12,21,24)	(12,21,24)	(12,20,24)	(12,20,24)			
(13,24,24)	(13,24,24)	(13,23,24)	(13,23,24)	(13,21,24)	(13,21,24)	(13,20,24)	(13,20,24)			
(14,24,24)	(14,24,24)	(14,23,24)	(14,23,24)	(14,21,24)	(14,21,24)	(14,20,24)	(14,20,24)			
(15,24,24)	(15,24,24)	(15,23,24)	(15,23,24)	(15,21,24)	(15,21,24)	(15,20,24)	(15,20,24)			
(16,24,24)	(16,24,24)	(16,23,24)	(16,23,24)	(16,21,24)	(16,21,24)	(16,20,24)	(16,20,24)			
(17,24,24)	(17,24,24)	(17,23,24)	(17,23,24)	(17,21,24)	(17,21,24)	(17,20,24)	(17,20,24)			
(18,24,24)	(18,24,24)	(18,23,24)	(18,23,24)	(18,21,24)	(18,21,24)	(18,20,24)	(18,20,24)			
(19,24,24)	(19,24,24)	(19,23,24)	(19,23,24)	(19,21,24)	(19,21,24)	(19,20,24)	(19,20,24)			
(20,24,24)	(20,24,24)	(20,23,24)	(20,23,24)	(20,21,24)	(20,21,24)	(20,20,24)	(20,20,24)			
(21,24,24)	(21,24,24)	(21,23,24)	(21,23,24)	(21,21,24)	(21,21,24)	(21,20,24)	(21,20,24)			
(22,24,24)	(22,24,24)	(22,23,24)	(22,23,24)	(22,21,24)	(22,21,24)	(22,20,24)	(22,20,24)			
(23,24,24)	(23,24,24)	(23,23,24)	(23,23,24)	(23,21,24)	(23,21,24)	(23,20,24)	(23,20,24)			
(24,24,24)	(24,24,24)	(24,23,24)	(24,23,24)	(24,21,24)	(24,21,24)	(24,20,24)	(24,20,24)			
